Tick 183(182), Delay 43 ms, IGT 00:09.051, RTA 00:08.955-00:08.998
Tick 190(189), Delay 45 ms, IGT 00:09.401, RTA 00:09.304-00:09.349
Tick 203(202), Delay 62 ms, IGT 00:10.051, RTA 00:09.951-00:10.013
Tick 204(203), Delay 35 ms, IGT 00:10.101, RTA 00:10.013-00:10.048
Tick 205(204), Delay 55 ms, IGT 00:10.151, RTA 00:10.048-00:10.103
Tick 206(205), Delay 56 ms, IGT 00:10.201, RTA 00:10.103-00:10.159
Tick 214(213), Delay 90 ms, IGT 00:10.601, RTA 00:10.503-00:10.593
Tick 215(214), Delay 20 ms, IGT 00:10.651, RTA 00:10.593-00:10.613
Tick 216(215), Delay 35 ms, IGT 00:10.701, RTA 00:10.613-00:10.648
Tick 219(218), Delay 45 ms, IGT 00:10.851, RTA 00:10.755-00:10.800
Tick 233(232), Delay 45 ms, IGT 00:11.551, RTA 00:11.453-00:11.498
Tick 237(236), Delay 56 ms, IGT 00:11.751, RTA 00:11.648-00:11.704
Tick 240(239), Delay 42 ms, IGT 00:11.901, RTA 00:11.808-00:11.850
Tick 245(244), Delay 61 ms, IGT 00:12.151, RTA 00:12.050-00:12.111
Tick 246(245), Delay 39 ms, IGT 00:12.201, RTA 00:12.111-00:12.150
Tick 250(249), Delay 44 ms, IGT 00:12.401, RTA 00:12.303-00:12.347
Tick 253(252), Delay 55 ms, IGT 00:12.551, RTA 00:12.447-00:12.502
Tick 258(257), Delay 45 ms, IGT 00:12.801, RTA 00:12.704-00:12.749
Tick 260(259), Delay 55 ms, IGT 00:12.901, RTA 00:12.798-00:12.853
Tick 266(265), Delay 44 ms, IGT 00:13.201, RTA 00:13.104-00:13.148
Tick 267(266), Delay 55 ms, IGT 00:13.251, RTA 00:13.148-00:13.203
Tick 270(269), Delay 69 ms, IGT 00:13.401, RTA 00:13.300-00:13.369
Tick 271(270), Delay 35 ms, IGT 00:13.451, RTA 00:13.369-00:13.404
Tick 272(271), Delay 45 ms, IGT 00:13.501, RTA 00:13.404-00:13.449
Tick 275(274), Delay 69 ms, IGT 00:13.651, RTA 00:13.550-00:13.619
Tick 276(275), Delay 35 ms, IGT 00:13.701, RTA 00:13.619-00:13.654
Tick 280(279), Delay 60 ms, IGT 00:13.901, RTA 00:13.802-00:13.862
Tick 281(280), Delay 38 ms, IGT 00:13.951, RTA 00:13.862-00:13.900
Tick 287(286), Delay 56 ms, IGT 00:14.251, RTA 00:14.151-00:14.207
Tick 288(287), Delay 43 ms, IGT 00:14.301, RTA 00:14.207-00:14.250
Tick 289(288), Delay 55 ms, IGT 00:14.351, RTA 00:14.250-00:14.305
Tick 294(293), Delay 55 ms, IGT 00:14.601, RTA 00:14.503-00:14.558
Tick 295(294), Delay 42 ms, IGT 00:14.651, RTA 00:14.558-00:14.600
Tick 298(297), Delay 58 ms, IGT 00:14.801, RTA 00:14.704-00:14.762
Tick 299(298), Delay 43 ms, IGT 00:14.851, RTA 00:14.762-00:14.805
Tick 300(299), Delay 45 ms, IGT 00:14.901, RTA 00:14.805-00:14.850
Tick 302(301), Delay 57 ms, IGT 00:15.001, RTA 00:14.901-00:14.958
Tick 303(302), Delay 45 ms, IGT 00:15.051, RTA 00:14.958-00:15.003
Tick 307(306), Delay 55 ms, IGT 00:15.251, RTA 00:15.148-00:15.203
Tick 310(309), Delay 57 ms, IGT 00:15.401, RTA 00:15.300-00:15.357
Tick 311(310), Delay 41 ms, IGT 00:15.451, RTA 00:15.357-00:15.398
Tick 312(311), Delay 55 ms, IGT 00:15.501, RTA 00:15.398-00:15.453
Tick 319(318), Delay 43 ms, IGT 00:15.851, RTA 00:15.755-00:15.798
Tick 320(319), Delay 55 ms, IGT 00:15.901, RTA 00:15.798-00:15.853
Tick 322(321), Delay 56 ms, IGT 00:16.001, RTA 00:15.904-00:15.960
Tick 323(322), Delay 59 ms, IGT 00:16.051, RTA 00:15.960-00:16.019
Tick 324(323), Delay 33 ms, IGT 00:16.101, RTA 00:16.019-00:16.052
Tick 325(324), Delay 56 ms, IGT 00:16.151, RTA 00:16.052-00:16.108
Tick 328(327), Delay 42 ms, IGT 00:16.301, RTA 00:16.208-00:16.250
Tick 329(328), Delay 57 ms, IGT 00:16.351, RTA 00:16.250-00:16.307
Tick 330(329), Delay 45 ms, IGT 00:16.401, RTA 00:16.307-00:16.352
Tick 332(331), Delay 42 ms, IGT 00:16.501, RTA 00:16.405-00:16.447
Tick 337(336), Delay 109 ms, IGT 00:16.751, RTA 00:16.654-00:16.763
Tick 338(337), Delay 2 ms, IGT 00:16.801, RTA 00:16.763-00:16.765
