Tick 10652(10649), Delay 0 ms, IGT 08:52.449, RTA 08:59.710-08:59.710
Tick 10653(10650), Delay 1 ms, IGT 08:52.499, RTA 08:59.710-08:59.711
Tick 10654(10651), Delay 26 ms, IGT 08:52.549, RTA 08:59.711-08:59.737
Tick 10659(10656), Delay 11507 ms, IGT 08:52.799, RTA 08:59.937-09:11.444
Tick 10690(10687), Delay 12567 ms, IGT 08:54.349, RTA 09:12.944-09:25.511
Tick 10763(10760), Delay 1133 ms, IGT 08:57.999, RTA 09:29.111-09:30.244
Tick 10802(10799), Delay 287 ms, IGT 08:59.949, RTA 09:32.143-09:32.430
Tick 10803(10800), Delay 0 ms, IGT 08:59.999, RTA 09:32.430-09:32.430
Tick 10804(10801), Delay 0 ms, IGT 09:00.049, RTA 09:32.430-09:32.430
Tick 10805(10802), Delay 1 ms, IGT 09:00.099, RTA 09:32.430-09:32.431
Tick 10806(10803), Delay 0 ms, IGT 09:00.149, RTA 09:32.431-09:32.431
Tick 10807(10804), Delay 14 ms, IGT 09:00.199, RTA 09:32.431-09:32.445
Tick 10808(10805), Delay 45 ms, IGT 09:00.249, RTA 09:32.445-09:32.490
Tick 10812(10809), Delay 110726 ms, IGT 09:00.449, RTA 09:32.638-11:23.364
Tick 10840(10837), Delay 334 ms, IGT 09:01.849, RTA 11:24.712-11:25.046
Tick 10841(10838), Delay 0 ms, IGT 09:01.899, RTA 11:25.046-11:25.046
Tick 10842(10839), Delay 1 ms, IGT 09:01.949, RTA 11:25.046-11:25.047
Tick 10843(10840), Delay 0 ms, IGT 09:01.999, RTA 11:25.047-11:25.047
Tick 10844(10841), Delay 0 ms, IGT 09:02.049, RTA 11:25.047-11:25.047
Tick 10845(10842), Delay 0 ms, IGT 09:02.099, RTA 11:25.047-11:25.047
Tick 10846(10843), Delay 10 ms, IGT 09:02.149, RTA 11:25.047-11:25.057
Tick 10850(10847), Delay 14757 ms, IGT 09:02.349, RTA 11:25.207-11:39.964
Tick 11026(11023), Delay 22667 ms, IGT 09:11.149, RTA 11:48.714-12:11.381
Tick 11195(11192), Delay 3533 ms, IGT 09:19.599, RTA 12:19.780-12:23.313
Tick 11201(11198), Delay 632 ms, IGT 09:19.899, RTA 12:23.564-12:24.196
Tick 11209(11206), Delay 1249 ms, IGT 09:20.299, RTA 12:24.547-12:25.796
Tick 11309(11306), Delay 700 ms, IGT 09:25.299, RTA 12:30.748-12:31.448
Tick 11317(11314), Delay 833 ms, IGT 09:25.699, RTA 12:31.797-12:32.630
Tick 11325(11322), Delay 783 ms, IGT 09:26.099, RTA 12:32.981-12:33.764
