No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
78   30:36.049      45:21.663      45:25.400      3.737      3.737      Paused by player, Unpause by player
79   30:37.699      45:27.014      45:28.166      1.152      1.152      Paused by player, Unpause by player
80   30:38.199      45:28.630      45:29.234      0.604      0.604      Paused by player, Unpause by player
81   30:38.799      45:29.797      45:30.381      0.584      0.584      Paused by player, Unpause by player
82   30:39.499      45:31.064      45:31.948      0.884      0.884      Paused by player, Unpause by player
83   30:58.899      45:51.347      46:26.599      35.252     35.252     Paused by player, Unpause by player
84   31:00.549      46:28.236      46:36.633      8.397      8.397      Paused by player, Unpause by player
85   32:49.449      48:25.500      49:33.403      67.903     67.903     Paused by player, Unpause by player
86   33:09.499      49:53.418      49:54.321      0.903      0.903      Paused by player, Unpause by player
87   33:10.149      49:54.934      49:55.604      0.670      0.670      Paused by player, Unpause by player
88   33:22.349      50:07.768      50:09.653      1.885      1.885      Paused by player, Unpause by player
89   33:25.149      50:12.436      50:13.354      0.918      0.918      Paused by player, Unpause by player
90   33:27.799      50:15.968      50:17.703      1.735      1.735      Paused by player, Unpause by player
91   33:30.399      50:20.285      50:23.920      3.635      3.635      Paused by player, Unpause by player
92   33:31.899      50:25.418      50:27.336      1.918      1.918      Paused by player, Unpause by player
93   33:32.999      50:28.419      50:30.588      2.169      2.169      Paused by player, Unpause by player
94   33:37.449      50:35.002      50:36.604      1.602      1.602      Paused by player, Unpause by player
95   33:42.949      50:42.069      50:43.887      1.818      1.818      Paused by player, Unpause by player
96   37:25.299      54:26.239      54:33.724      7.485      7.485      Paused by player, Unpause by player
97   37:37.849      54:46.240      55:23.409      37.169     37.169     Paused by player, Unpause by player
98   40:29.549      58:15.126      58:22.679      7.553      7.553      Paused by player, Unpause by player
99   40:30.099      58:23.243      58:27.062      3.819      3.819      Paused by player, Unpause by player
100  40:31.299      58:28.260      58:50.080      21.820     21.820     Paused by player, Unpause by player
