Tick 112(111), Delay 64 ms, IGT 00:05.502, RTA 00:05.420-00:05.484
Tick 113(112), Delay 28 ms, IGT 00:05.552, RTA 00:05.484-00:05.512
Tick 119(118), Delay 45 ms, IGT 00:05.852, RTA 00:05.776-00:05.821
Tick 120(119), Delay 41 ms, IGT 00:05.902, RTA 00:05.821-00:05.862
Tick 121(120), Delay 62 ms, IGT 00:05.952, RTA 00:05.862-00:05.924
Tick 122(121), Delay 57 ms, IGT 00:06.002, RTA 00:05.924-00:05.981
Tick 123(122), Delay 33 ms, IGT 00:06.052, RTA 00:05.981-00:06.014
Tick 125(124), Delay 56 ms, IGT 00:06.152, RTA 00:06.063-00:06.119
Tick 127(126), Delay 56 ms, IGT 00:06.252, RTA 00:06.165-00:06.221
Tick 128(127), Delay 55 ms, IGT 00:06.302, RTA 00:06.221-00:06.276
Tick 131(130), Delay 41 ms, IGT 00:06.452, RTA 00:06.375-00:06.416
Tick 132(131), Delay 62 ms, IGT 00:06.502, RTA 00:06.416-00:06.478
Tick 133(132), Delay 43 ms, IGT 00:06.552, RTA 00:06.478-00:06.521
Tick 134(133), Delay 42 ms, IGT 00:06.602, RTA 00:06.521-00:06.563
Tick 138(137), Delay 56 ms, IGT 00:06.802, RTA 00:06.712-00:06.768
Tick 139(138), Delay 57 ms, IGT 00:06.852, RTA 00:06.768-00:06.825
Tick 140(139), Delay 42 ms, IGT 00:06.902, RTA 00:06.825-00:06.867
Tick 145(144), Delay 38 ms, IGT 00:07.152, RTA 00:07.076-00:07.114
Tick 146(145), Delay 56 ms, IGT 00:07.202, RTA 00:07.114-00:07.170
Tick 147(146), Delay 42 ms, IGT 00:07.252, RTA 00:07.170-00:07.212
Tick 151(150), Delay 57 ms, IGT 00:07.452, RTA 00:07.368-00:07.425
Tick 153(152), Delay 35 ms, IGT 00:07.552, RTA 00:07.475-00:07.510
Tick 154(153), Delay 63 ms, IGT 00:07.602, RTA 00:07.510-00:07.573
Tick 156(155), Delay 41 ms, IGT 00:07.702, RTA 00:07.619-00:07.660
Tick 157(156), Delay 64 ms, IGT 00:07.752, RTA 00:07.660-00:07.724
Tick 162(161), Delay 58 ms, IGT 00:08.002, RTA 00:07.918-00:07.976
Tick 163(162), Delay 39 ms, IGT 00:08.052, RTA 00:07.976-00:08.015
Tick 164(163), Delay 57 ms, IGT 00:08.102, RTA 00:08.015-00:08.072
Tick 165(164), Delay 39 ms, IGT 00:08.152, RTA 00:08.072-00:08.111
Tick 166(165), Delay 57 ms, IGT 00:08.202, RTA 00:08.111-00:08.168
Tick 167(166), Delay 43 ms, IGT 00:08.252, RTA 00:08.168-00:08.211
Tick 168(167), Delay 60 ms, IGT 00:08.302, RTA 00:08.211-00:08.271
Tick 169(168), Delay 39 ms, IGT 00:08.352, RTA 00:08.271-00:08.310
Tick 177(176), Delay 95 ms, IGT 00:08.752, RTA 00:08.662-00:08.757
Tick 178(177), Delay 22 ms, IGT 00:08.802, RTA 00:08.757-00:08.779
Tick 179(178), Delay 39 ms, IGT 00:08.852, RTA 00:08.779-00:08.818
Tick 200(199), Delay 73 ms, IGT 00:09.902, RTA 00:09.813-00:09.886
Tick 201(200), Delay 30 ms, IGT 00:09.952, RTA 00:09.886-00:09.916
Tick 202(201), Delay 65 ms, IGT 00:10.002, RTA 00:09.916-00:09.981
Tick 203(202), Delay 43 ms, IGT 00:10.052, RTA 00:09.981-00:10.024
Tick 204(203), Delay 37 ms, IGT 00:10.102, RTA 00:10.024-00:10.061
Tick 205(204), Delay 59 ms, IGT 00:10.152, RTA 00:10.061-00:10.120
Tick 207(206), Delay 68 ms, IGT 00:10.252, RTA 00:10.168-00:10.236
Tick 208(207), Delay 24 ms, IGT 00:10.302, RTA 00:10.236-00:10.260
Tick 209(208), Delay 56 ms, IGT 00:10.352, RTA 00:10.260-00:10.316
Tick 210(209), Delay 55 ms, IGT 00:10.402, RTA 00:10.316-00:10.371
Tick 211(210), Delay 40 ms, IGT 00:10.452, RTA 00:10.371-00:10.411
Tick 213(212), Delay 61 ms, IGT 00:10.552, RTA 00:10.463-00:10.524
Tick 214(213), Delay 36 ms, IGT 00:10.602, RTA 00:10.524-00:10.560
Tick 216(215), Delay 55 ms, IGT 00:10.702, RTA 00:10.613-00:10.668
Tick 219(218), Delay 44 ms, IGT 00:10.852, RTA 00:10.766-00:10.810
Tick 220(219), Delay 62 ms, IGT 00:10.902, RTA 00:10.810-00:10.872
Tick 223(222), Delay 45 ms, IGT 00:11.052, RTA 00:10.971-00:11.016
Tick 224(223), Delay 44 ms, IGT 00:11.102, RTA 00:11.016-00:11.060
Tick 231(230), Delay 43 ms, IGT 00:11.452, RTA 00:11.367-00:11.410
Tick 232(231), Delay 57 ms, IGT 00:11.502, RTA 00:11.410-00:11.467
Tick 235(234), Delay 42 ms, IGT 00:11.652, RTA 00:11.567-00:11.609
Tick 236(235), Delay 61 ms, IGT 00:11.702, RTA 00:11.609-00:11.670
Tick 238(237), Delay 44 ms, IGT 00:11.802, RTA 00:11.716-00:11.760
Tick 245(244), Delay 55 ms, IGT 00:12.152, RTA 00:12.065-00:12.120
Tick 246(245), Delay 43 ms, IGT 00:12.202, RTA 00:12.120-00:12.163
Tick 247(246), Delay 55 ms, IGT 00:12.252, RTA 00:12.163-00:12.218
Tick 248(247), Delay 43 ms, IGT 00:12.302, RTA 00:12.218-00:12.261
Tick 250(249), Delay 61 ms, IGT 00:12.402, RTA 00:12.310-00:12.371
Tick 251(250), Delay 41 ms, IGT 00:12.452, RTA 00:12.371-00:12.412
Tick 254(253), Delay 55 ms, IGT 00:12.602, RTA 00:12.514-00:12.569
Tick 255(254), Delay 41 ms, IGT 00:12.652, RTA 00:12.569-00:12.610
Tick 256(255), Delay 61 ms, IGT 00:12.702, RTA 00:12.610-00:12.671
Tick 257(256), Delay 41 ms, IGT 00:12.752, RTA 00:12.671-00:12.712
Tick 259(258), Delay 57 ms, IGT 00:12.852, RTA 00:12.760-00:12.817
Tick 260(259), Delay 45 ms, IGT 00:12.902, RTA 00:12.817-00:12.862
Tick 261(260), Delay 56 ms, IGT 00:12.952, RTA 00:12.862-00:12.918
Tick 262(261), Delay 43 ms, IGT 00:13.002, RTA 00:12.918-00:12.961
Tick 265(264), Delay 44 ms, IGT 00:13.152, RTA 00:13.065-00:13.109
Tick 266(265), Delay 57 ms, IGT 00:13.202, RTA 00:13.109-00:13.166
Tick 267(266), Delay 66 ms, IGT 00:13.252, RTA 00:13.166-00:13.232
Tick 268(267), Delay 37 ms, IGT 00:13.302, RTA 00:13.232-00:13.269
Tick 274(273), Delay 59 ms, IGT 00:13.602, RTA 00:13.511-00:13.570
Tick 275(274), Delay 41 ms, IGT 00:13.652, RTA 00:13.570-00:13.611
Tick 276(275), Delay 68 ms, IGT 00:13.702, RTA 00:13.611-00:13.679
Tick 277(276), Delay 38 ms, IGT 00:13.752, RTA 00:13.679-00:13.717
Tick 281(280), Delay 61 ms, IGT 00:13.952, RTA 00:13.867-00:13.928
Tick 282(281), Delay 41 ms, IGT 00:14.002, RTA 00:13.928-00:13.969
Tick 284(283), Delay 43 ms, IGT 00:14.102, RTA 00:14.020-00:14.063
Tick 285(284), Delay 56 ms, IGT 00:14.152, RTA 00:14.063-00:14.119
Tick 287(286), Delay 43 ms, IGT 00:14.252, RTA 00:14.172-00:14.215
Tick 292(291), Delay 40 ms, IGT 00:14.502, RTA 00:14.421-00:14.461
Tick 294(293), Delay 68 ms, IGT 00:14.602, RTA 00:14.515-00:14.583
Tick 295(294), Delay 43 ms, IGT 00:14.652, RTA 00:14.583-00:14.626
Tick 297(296), Delay 37 ms, IGT 00:14.752, RTA 00:14.673-00:14.710
Tick 298(297), Delay 64 ms, IGT 00:14.802, RTA 00:14.710-00:14.774
Tick 301(300), Delay 39 ms, IGT 00:14.952, RTA 00:14.871-00:14.910
Tick 302(301), Delay 67 ms, IGT 00:15.002, RTA 00:14.910-00:14.977
Tick 303(302), Delay 34 ms, IGT 00:15.052, RTA 00:14.977-00:15.011
Tick 304(303), Delay 56 ms, IGT 00:15.102, RTA 00:15.011-00:15.067
Tick 313(312), Delay 45 ms, IGT 00:15.552, RTA 00:15.470-00:15.515
