Tick 2(1), Delay 24288 ms, IGT 00:00.000, RTA 00:-24.-288-00:00.000, due world load
Tick 3(2), Delay 1498 ms, IGT 00:00.051, RTA 00:-1.-492-00:00.006
Tick 5(4), Delay 66 ms, IGT 00:00.151, RTA 00:00.055-00:00.121
Tick 7(6), Delay 45 ms, IGT 00:00.251, RTA 00:00.168-00:00.213
Tick 9(8), Delay 39 ms, IGT 00:00.351, RTA 00:00.265-00:00.304
Tick 13(12), Delay 90 ms, IGT 00:00.551, RTA 00:00.458-00:00.548
Tick 14(13), Delay 23 ms, IGT 00:00.601, RTA 00:00.548-00:00.571
Tick 16(15), Delay 39 ms, IGT 00:00.701, RTA 00:00.618-00:00.657
Tick 17(16), Delay 55 ms, IGT 00:00.751, RTA 00:00.657-00:00.712
Tick 18(17), Delay 43 ms, IGT 00:00.801, RTA 00:00.712-00:00.755
Tick 21(20), Delay 64 ms, IGT 00:00.951, RTA 00:00.859-00:00.923
Tick 22(21), Delay 32 ms, IGT 00:01.001, RTA 00:00.923-00:00.955
Tick 23(22), Delay 56 ms, IGT 00:01.051, RTA 00:00.955-00:01.011
Tick 24(23), Delay 44 ms, IGT 00:01.101, RTA 00:01.011-00:01.055
Tick 25(24), Delay 56 ms, IGT 00:01.151, RTA 00:01.055-00:01.111
Tick 26(25), Delay 69 ms, IGT 00:01.201, RTA 00:01.111-00:01.180
Tick 27(26), Delay 36 ms, IGT 00:01.251, RTA 00:01.180-00:01.216
Tick 28(27), Delay 42 ms, IGT 00:01.301, RTA 00:01.216-00:01.258
Tick 29(28), Delay 59 ms, IGT 00:01.351, RTA 00:01.258-00:01.317
Tick 30(29), Delay 42 ms, IGT 00:01.401, RTA 00:01.317-00:01.359
Tick 32(31), Delay 78 ms, IGT 00:01.501, RTA 00:01.410-00:01.488
Tick 33(32), Delay 32 ms, IGT 00:01.551, RTA 00:01.488-00:01.520
Tick 35(34), Delay 39 ms, IGT 00:01.651, RTA 00:01.568-00:01.607
Tick 36(35), Delay 89 ms, IGT 00:01.701, RTA 00:01.607-00:01.696
Tick 37(36), Delay 19 ms, IGT 00:01.751, RTA 00:01.696-00:01.715
Tick 38(37), Delay 43 ms, IGT 00:01.801, RTA 00:01.715-00:01.758
Tick 39(38), Delay 57 ms, IGT 00:01.851, RTA 00:01.758-00:01.815
Tick 40(39), Delay 57 ms, IGT 00:01.901, RTA 00:01.815-00:01.872
Tick 42(41), Delay 38 ms, IGT 00:02.001, RTA 00:01.923-00:01.961
Tick 44(43), Delay 58 ms, IGT 00:02.101, RTA 00:02.007-00:02.065
Tick 45(44), Delay 90 ms, IGT 00:02.151, RTA 00:02.065-00:02.155
Tick 47(46), Delay 21 ms, IGT 00:02.251, RTA 00:02.204-00:02.225
Tick 48(47), Delay 31 ms, IGT 00:02.301, RTA 00:02.225-00:02.256
Tick 51(50), Delay 70 ms, IGT 00:02.451, RTA 00:02.356-00:02.426
