Tick 2(1), Delay 30838 ms, IGT 00:00.000, RTA 00:-30.-838-00:00.000, due world load
Tick 3(2), Delay 2070 ms, IGT 00:00.051, RTA 00:-2.-40-00:00.030
Tick 4(3), Delay 81 ms, IGT 00:00.101, RTA 00:00.030-00:00.111
Tick 5(4), Delay 115 ms, IGT 00:00.151, RTA 00:00.111-00:00.226
Tick 6(5), Delay 6 ms, IGT 00:00.201, RTA 00:00.226-00:00.232
Tick 7(6), Delay 4 ms, IGT 00:00.251, RTA 00:00.232-00:00.236
Tick 8(7), Delay 103 ms, IGT 00:00.301, RTA 00:00.236-00:00.339
Tick 9(8), Delay 10 ms, IGT 00:00.351, RTA 00:00.339-00:00.349
Tick 11(10), Delay 31 ms, IGT 00:00.451, RTA 00:00.399-00:00.430
Tick 12(11), Delay 70 ms, IGT 00:00.501, RTA 00:00.430-00:00.500
Tick 13(12), Delay 699 ms, IGT 00:00.551, RTA 00:00.500-00:01.199
Tick 14(13), Delay 65 ms, IGT 00:00.601, RTA 00:01.199-00:01.264
Tick 15(14), Delay 118 ms, IGT 00:00.651, RTA 00:01.264-00:01.382
Tick 16(15), Delay 4 ms, IGT 00:00.701, RTA 00:01.382-00:01.386
Tick 17(16), Delay 72 ms, IGT 00:00.751, RTA 00:01.386-00:01.458
Tick 18(17), Delay 6 ms, IGT 00:00.801, RTA 00:01.458-00:01.464
Tick 19(18), Delay 39 ms, IGT 00:00.851, RTA 00:01.464-00:01.503
Tick 20(19), Delay 91 ms, IGT 00:00.901, RTA 00:01.503-00:01.594
Tick 21(20), Delay 5 ms, IGT 00:00.951, RTA 00:01.594-00:01.599
Tick 22(21), Delay 68 ms, IGT 00:01.001, RTA 00:01.599-00:01.667
Tick 23(22), Delay 43 ms, IGT 00:01.051, RTA 00:01.667-00:01.710
Tick 24(23), Delay 70 ms, IGT 00:01.101, RTA 00:01.710-00:01.780
Tick 25(24), Delay 64 ms, IGT 00:01.151, RTA 00:01.780-00:01.844
Tick 26(25), Delay 6 ms, IGT 00:01.201, RTA 00:01.844-00:01.850
Tick 27(26), Delay 60 ms, IGT 00:01.251, RTA 00:01.850-00:01.910
Tick 28(27), Delay 57 ms, IGT 00:01.301, RTA 00:01.910-00:01.967
Tick 29(28), Delay 73 ms, IGT 00:01.351, RTA 00:01.967-00:02.040
Tick 31(30), Delay 6 ms, IGT 00:01.451, RTA 00:02.093-00:02.099
Tick 32(31), Delay 66 ms, IGT 00:01.501, RTA 00:02.099-00:02.165
Tick 34(33), Delay 40 ms, IGT 00:01.601, RTA 00:02.212-00:02.252
Tick 36(35), Delay 38 ms, IGT 00:01.701, RTA 00:02.299-00:02.337
Tick 38(37), Delay 84 ms, IGT 00:01.801, RTA 00:02.387-00:02.471
Tick 39(38), Delay 38 ms, IGT 00:01.851, RTA 00:02.471-00:02.509
Tick 43(42), Delay 34 ms, IGT 00:02.051, RTA 00:02.656-00:02.690
Tick 44(43), Delay 58 ms, IGT 00:02.101, RTA 00:02.690-00:02.748
